名稱,狀態,預計行動,Create Task,URL,已建立Task,紀錄原因,標籤,建立時間,Note
"https://www.facebook.com/share/p/1Zhuzb4FfA/?mibextid=wwXIfr  《姐姐聊ETF：大盤VOO、SPY、IVV、SPLG、RSP、VTI、VT、VXUS》

前陣子發生了一件出乎姐姐意料的事，簡短寫的一篇回應粉絲提問，講如果是定期定額的話更適合買ETF而不是買股票然後分享了兩個非常基本的ETF組合（VOO+SPYG；VOO+VGT），竟然成了這個粉專有史以來被轉發最多次的！？（各位粉絲我真是猜不透你們啊！夠性格！）所以大家可能其實需要一些ETF的介紹嗎？正好姐姐也是有投資ETF，因為大家都知道的原因（就是我很討厭賠錢啦），收益穩定的ETF是我投資組合裡的大宗（有自己獨立的帳戶，方便我追蹤股票和ETF的損益，不要混在一起），那我就三不五時也來介紹一些ETF好了。今天會從最基本的大盤ETF開始，因為真的很基本啦，所以如果這些你已經都知道了那就跳過嘍！

大盤ETF是指追蹤總體股票市場走勢的ETF，通常成分是大型指數包括的公司，比如標普500的500家大市值公司（代表美股的80%市值）。如果只想買一檔ETF的話，大盤ETF就是不二之選。如果要配置ETF組合的話，一般會用“大盤 + 成長股”或者“大盤 + 成長股 + 避險”，總之大盤幾乎都佔據中流砥柱的位置。

追蹤美股的大盤ETF包括：VOO、SPY、IVV、SPLG、RSP。其中VOO、SPY、IVV、SPLG是“依市值加權”，RSP是“等權重”ETF，意思是雖然都是追蹤標普的500家公司，前面四檔投入各公司的資金是按照公司市值大小比例分配，所以它們目前的前十大持股都是：NVDA、MSFT、AAPL、AMZN、META、AVGO、GOOGL、GOOG、BRK.B、TSLA；RSP則是對500家公司一視同仁，不管規模大小都投入相等資金，也就是每家公司佔比都是0.2%左右（相對於在VOO、SPY、IVV、SPLG中最大的NVDA就佔了差不多6.5%）。所以在龍頭股領漲的時候，VOO、SPY、IVV、SPLG會漲得比RSP更明顯，而相反的在資金輪動到其他股票的時候，RSP就會漲得比較多，由於近年股市都是由大型科技公司主導，VOO、SPY、IVV、SPLG的十年年化報酬率差不多是13.5%，而RSP是10.45%。所以現在買大盤指數ETF的人大部分都是買“依市值加權”的前面四檔。

那麼這四檔ETF有什麼不同呢？基本上在我們最注重的報酬率方面區別很小（十年年化報酬率13.5%-13.61%），如果要說有什麼不同的話，大概是：

SPY：流動性最高，成交量大，買賣價差小，但老實說SPY、VOO、IVV的流通性和成交量雖然沒辦法跟SPY比，但在所有ETF中也算很高的了，所以對散戶來說沒有什麼區別，只有SPLG比較差一點而已。做選擇權的投資人好像會比較喜歡SPY，因為流通性對選擇權來說更重要。不過SPY的管理費是最貴的（0.0945%）。

SPLG：管理費最低（0.02%），單價也低（現在是$74左右，不像其他幾檔都在$500以上），雖然現在都可以用小於一單位的零股買賣但零股只能現價買，無法定價交易，所以喜歡整數買賣資金又不大的投資人會偏好SPLG。

VOO、IVV：這兩檔我實在說不出有什麼區別，不管報酬率、資產規模、管理費（都是0.03%）都差不多。如果想買規模大一點的ETF又不想付高管理費的話可以在這兩檔中二選一。我自己是用VOO但好像僅僅是因為一開始選的是VOO後來就一直繼續買它了，我覺得買IVV對我來說也沒什麼不同。

VTI也是投資美國整體市場，但它的覆蓋範圍超過標普的500家，是大約有3500成分股的“全市場”ETF，其中中小型企業佔20%，十年年化報酬率差不多12.9%，不過在2016和2020年VTI是打敗標普500指數ETF的。

如果不想把投資侷限在美股，可以考慮VT和VXUS，兩者的區別是前者是全球包括美國，而後者是針對“美國以外”的市場，也就是說，如果已經持有美股大盤ETF了，買VT就會在美國的部分重複（美股因為市場大，所以佔VT的60%以上）。如果你想美國和世界股票通吃分散風險的話，可以只買VT就好，或者買一檔美股大盤ETF加上VXUS。在過去十年，由於美股領先全球市場，VT的年化報酬率是10%，VXUS是6.3%。不過今年世界股票相對於美股表現更亮眼，到目前的報酬率是VT10.66%，VXUS17.27%，都遠超過美國大盤的6.83%，所以說我們不能只拿過去的歷史來預測未來。姐姐自己現在用的組合是VOO + VXUS。（我有時候會加上小市值股VTWO和SCZ來補足大盤ETF沒有覆蓋到的部分，不過那就不在今天的介紹範圍內了。）

另外附帶說明道瓊和那斯達克指數也有自己的ETF：DIA和QQQ，不過道瓊指數因為只有30檔，不適合用來代表大盤，而QQQ由於那斯達克以科技公司為主，性質更接近成長股而不是大盤股，所以之後會在放在成長股那一組來介紹。",Not started,,,,,,,"August 7, 2025 5:58 AM",
快把握時間到 Instagram 觀看 Appediet TC 的這則限時動態！,Not started,,,https://www.instagram.com/stories/appediet.t/3648132194586635374,,,,"August 7, 2025 5:15 AM",
Chinese Firms Linked to Silk Typhoon Filed 15+ Patents for Cyber Espionage Tools,Not started,,,https://thehackernews.com/2025/07/chinese-firms-linked-to-silk-typhoon.html?fbclid=IwY2xjawL_7G1leHRuA2FlbQIxMQABHiZ6f84gFTg_lWH3WzI3cGvZHJcxwy55kkWzDH1kIoxHe1lPwYkAupo6Qj4m_aem_ZCZXS5LeTnE86iBNhm4JaQ,,,,"August 6, 2025 4:07 PM",
"Threads 上的 Muki Wu / 沐奇（@mukiwu）.  你也想免費使用 Claude Code 嗎？

對！短短兩天我又變心了，Gemini CLI 掰掰 T口T。但我還是很愛 Gemini-2.5-Pro Model ❤️

所以這篇文章就是要跟大家分享，如果免費使用 Claude Code 和免費 Gemini-2.5-Pro 幫你打造一個舒適的開發環境。

如果你習慣了我之前推薦的 BMad-Method Agent，也可以在 Claude Code 安裝繼續使用，但在 Claude Code 的呼叫方式就變成反斜線 ""/""，而不是 ""@""，其他的部分都一樣。

➡️ 用 Claude Code 連接多款免費 AI 模型，輕鬆切換不設限：
https://muki.tw/claude-code-router/

➡️ 使用 BMad-Method 幫你打造一支免費的 AI Agent 開發團隊：
https://muki.tw/bmad-method-ai-agent/",Not started,,,https://www.threads.com/@mukiwu/post/DM_xTnWzFhC?xmt=AQF0dEHVO9THH8tst5xtveshkHlP2hFXO2CbqrINuIRiTw,,,,"August 6, 2025 4:06 PM",
"Threads 上的 GitMind（@gitmindtw）. 🤯 最近大家都在聊 AI Agent
其實光靠 YouTube，就能跟上最新進度！
這幾個頻道真的寶藏級：

🔆 李沐（亞馬遜首席科學家）
Mu Li 頻道《動手學 AI Agent》系列🔥 
工業級任務調度 + 即時決策完整實作，配套 Notebook 全開源

🔆 李宏毅（台大教授）
Hung-yi Lee 頻道《AI Agent 系統設計 2025》💡 
用復仇者聯盟講 Agent 協作，還能實戰旅行規劃 Agent

🔆 Andrej Karpathy（OpenAI 創始成員）
Andrej Karpathy 頻道《From LLMs to Agents》⚡ 
4 小時復現 AutoGPT 架構，還有硬核直播 Debug

🔆 Hugging Face 官方
HuggingFace 頻道《10 小時精通 Agent 框架》
📊 免費 GPU 部署 + 多 Agent 實戰案例

🔆 吳恩達（Andrew Ng）
DeepLearningAI 頻道《AI Agent 專項課》
📈 從 Excel 演算到 Multi-Agent 博弈系統，全都免費看",Not started,,,https://www.threads.com/@gitmindtw/post/DM_0iENJ9io?xmt=AQF0iUfDJ4G4zt2rCXzCxuWPxDSWDp14TIULrLiaeBCdKA,,,,"August 6, 2025 3:43 PM",
透過 Raycast + Ollama 用快捷鍵免費翻譯任何內容｜ExplainThis,Not started,,,https://www.explainthis.io/zh-hant/ai/free-translation-tool?fbclid=IwY2xjawL_t8FleHRuA2FlbQIxMABicmlkETFQRElqeFZkVm5GRVNESHlXAR67PFG1SPCstGYfhhSGkpbklWFEqqp35OJe94WyDBXOFPQ2GEHNeYEI_KUH_w_aem_7n2zJOlH4RwsnJuCB_h7nQ,,,,"August 6, 2025 12:23 PM",
大叔知道有很多朋友多會主動私訊我有興趣學習期權交易，所以大叔認為入門書籍... - 大叔美股筆記 Uncle Investment Note | Facebook,Not started,,,https://www.facebook.com/Unclestocknotess/posts/714183578107596?rdid=p7BnpiLjxKI9CS0Y,,,,"August 6, 2025 11:18 AM",
JanetC (@chiawenc@g0v.social) - g0v.social,Not started,,,https://g0v.social/@chiawenc,,,,"August 5, 2025 4:01 PM",
https://www.facebook.com/share/15ZUbWUiJd/?mibextid=wwXIfr,Not started,,,,,,,"August 5, 2025 7:32 AM",
https://www.facebook.com/share/p/16vPY49Uef/?mibextid=wwXIfr,Not started,,,,,,,"August 4, 2025 10:09 PM",
